policy,requester_id,context,difficulty,accepted,status,challenge_rtt_ms,result_rtt_ms,solve_ms,verify_ms,hashes,total_exchange_ms
idba,sybil-0,hotspot,21,1,accepted,2.157504,1.941888,2044.173752,0.018421,4048995,2050.122421
idba,sybil-0,default,20,1,accepted,2.805597,2.415242,367.453664,0.016047,749591,374.788052
idba,sybil-0,hotspot,21,1,accepted,2.753450,2.441286,182.554682,0.017502,374609,189.868296
idba,sybil-0,reward,21,1,accepted,2.912464,1.878943,983.654083,0.017342,1969714,990.663296
idba,sybil-0,committee,21,1,accepted,2.627003,2.245313,1018.201396,0.017588,2033204,1025.046249
idba,sybil-0,default,20,1,accepted,2.764961,3.302810,30.693991,0.015894,62232,38.725686
idba,sybil-0,reward,21,1,accepted,2.663328,2.532190,81.267372,0.017358,167429,88.659987
idba,sybil-0,default,20,1,accepted,2.221258,2.551298,61.869912,0.015766,123993,68.645611
idba,sybil-0,default,20,1,accepted,2.288280,1.964617,607.616817,0.015926,1223759,613.830357
idba,sybil-0,default,20,1,accepted,2.880651,2.548248,98.324190,0.015886,197760,105.823998
idba,sybil-0,default,20,1,accepted,2.698351,1.939603,937.678883,0.016996,1878112,944.558474
idba,sybil-0,hotspot,21,1,accepted,2.714267,2.017887,555.787003,0.017446,1123785,562.523639
idba,sybil-0,committee,21,1,accepted,2.681149,1.937144,1256.944813,0.017282,2497213,1263.813352
idba,sybil-0,hotspot,21,1,accepted,2.732473,2.414934,2106.253552,0.019770,4171839,2113.477862
idba,sybil-0,default,20,1,accepted,2.342821,2.340193,1222.545894,0.017945,2429598,1229.334841
idba,sybil-0,committee,21,1,accepted,2.836471,2.527552,36.422971,0.018403,74771,44.031079
idba,sybil-0,hotspot,21,1,accepted,2.670293,2.343084,1216.648266,0.018197,2414345,1223.904727
idba,sybil-0,hotspot,21,1,accepted,2.776788,1.956348,2790.045529,0.021651,5464136,2796.903259
idba,sybil-0,committee,21,1,accepted,2.826346,1.975932,631.074279,0.019009,1258245,638.023248
idba,sybil-0,reward,21,1,accepted,2.822658,1.939880,367.120443,0.017377,738854,373.905182
idba,sybil-0,committee,21,1,accepted,2.853283,1.948021,606.490599,0.017247,1213613,613.242582
idba,sybil-0,committee,21,1,accepted,2.697975,2.300325,878.407904,0.017369,1739888,885.965187
idba,sybil-0,hotspot,21,1,accepted,2.766380,1.923678,111.308733,0.017162,224692,118.068906
idba,sybil-0,reward,21,1,accepted,2.742624,1.942960,1099.558789,0.017721,2167970,1106.468575
idba,sybil-0,default,20,1,accepted,2.933765,1.929485,164.727720,0.015869,332751,171.626039
idba,sybil-0,hotspot,21,1,accepted,2.625633,2.006016,299.153670,0.017831,602085,305.848363
idba,sybil-0,default,20,1,accepted,2.682256,2.429062,3.716499,0.015880,7782,10.891625
idba,sybil-0,committee,21,1,accepted,2.765921,2.019672,2624.009637,0.017868,5130384,2630.961492
idba,sybil-0,reward,21,1,accepted,2.833450,1.990614,2557.056919,0.018462,4965909,2563.930105
idba,sybil-0,default,20,1,accepted,2.579453,1.907046,270.202645,0.016038,541529,276.812910
idba,sybil-0,reward,21,1,accepted,2.500218,2.020362,20.687837,0.017984,41543,27.311004
idba,sybil-0,hotspot,21,1,accepted,2.673160,1.978840,3160.501709,0.017631,6123823,3167.361065
idba,sybil-0,committee,21,1,accepted,2.579927,2.002940,581.536287,0.017938,1149814,588.310260
idba,sybil-0,reward,21,1,accepted,2.719666,1.958484,791.322279,0.018111,1556182,798.240857
idba,sybil-0,reward,21,1,accepted,2.752389,2.561512,436.368711,0.017353,866717,443.788294
